OP_CARRIER,OP_CARRIER_FL_NUM,ORIGIN,DEST,DEP_TIME,ARR_TIME
DL,2639,JFK,BOS,2144,2253
DL,2640,LAX,SEA,1708,1957
DL,2641,SEA,SNA,1102,1347
DL,2641,SNA,SEA,1424,1704
DL,2642,ATL,PHL,2246,37
DL,2644,MSP,IAH,1300,1547
DL,2646,BOS,ORD,1612,1805
DL,2646,ORD,BOS,1851,2207
DL,2647,ATL,MSY,1635,1703
DL,2648,DTW,BOS,1005,1150
DL,2649,MSP,BOS,658,1034
DL,2650,DEN,DTW,1529,2006
DL,2651,MSP,SLC,1244,1434
DL,2652,PSC,SLC,543,817
DL,2654,ATL,MSP,1754,1928
DL,2655,MSP,BOS,1000,1337
DL,2657,SLC,SAT,944,1314
DL,2658,MSP,SLC,1444,1621
DL,2661,MSP,JFK,1300,1639
DL,2663,DEN,SLC,1820,1952
DL,2664,BUF,ATL,549,800
DL,2666,SLC,STL,1735,2115
DL,2667,MSP,SAT,945,1216
DL,2668,ATL,MSP,703,901
DL,2669,SAT,MSP,1154,1433
DL,2671,SLC,AUS,1336,1726
DL,2673,MSP,IAH,738,1017
DL,2674,LAS,SLC,605,822
DL,2676,BOS,ORD,1939,2118
DL,2677,MSY,ATL,1815,2036
DL,2678,LAS,LAX,1456,1606
DL,2680,SAT,SLC,1804,2008
DL,2681,ATL,MSN,1154,1254
DL,2682,BNA,DTW,954,1225
DL,2682,DTW,BNA,817,848
DL,2683,MSP,IAH,2054,2324
DL,2684,CLT,DTW,1235,1412
DL,2684,DTW,CLT,951,1120
DL,2685,AUS,JFK,1845,2321
DL,2687,MSP,AUS,1811,2033
DL,2688,MSP,PHL,705,1028
DL,2688,PHL,MSP,1142,1325
DL,2689,SLC,AUS,814,1147
DL,2691,GRB,ATL,525,845
DL,2692,MSP,JFK,1956,2335
DL,2693,MCO,JFK,558,829
DL,2694,LGA,MCO,721,1005
DL,2694,MCO,LGA,1118,1344
DL,2695,MSP,MSY,1415,1638
DL,2695,MSY,MSP,1814,2102
DL,2696,ATL,CAE,1756,1847
DL,2697,DTW,MSP,1210,1251
DL,2698,SEA,PHX,1730,2023
DL,2702,MCO,JFK,736,1010
DL,2703,MSP,PHL,1956,2328
DL,2704,SEA,SNA,1508,1745
DL,2704,SNA,SEA,1846,2112
DL,2706,BOS,TPA,814,1127
DL,2708,BNA,BOS,1757,2133
DL,2709,MSP,AUS,925,1205
DL,2711,ATL,BWI,1107,1247
DL,2711,BWI,ATL,1352,1537
DL,2715,DTW,BWI,2118,2244
DL,2716,MSP,RDU,1248,1607
DL,2716,RDU,MSP,807,937
DL,2717,SAT,MSP,551,846
DL,2718,ATL,HPN,1953,2203
DL,2719,MSP,LGA,652,1028
DL,2720,ATL,JAX,1655,1749
DL,2720,JAX,ATL,1851,2024
DL,2723,TPA,LGA,714,937
DL,2728,SLC,AUS,1724,2054
DL,2729,DCA,MCO,1556,1836
DL,2729,MCO,DCA,1933,2132
DL,2730,MCO,LGA,656,922
DL,2731,ATL,SAT,2109,2228
DL,2732,MSP,LGA,1554,1933
DL,2733,MSP,LGA,1954,2320
DL,2734,CLE,ATL,554,738
DL,2736,AUS,DTW,1558,1946
DL,2738,ATL,ORD,1537,1639
DL,2738,ORD,ATL,1750,2035
DL,2739,ATL,BDL,1354,1601
DL,2739,BDL,ATL,1718,1944
DL,2740,SEA,DEN,759,1133
DL,2742,DTW,MCO,1410,1639
DL,2742,MCO,DTW,1753,2035
DL,2743,SEA,SNA,1934,2225
DL,2744,MSP,JFK,700,1039
DL,2746,DFW,DTW,1123,1502
DL,2746,DTW,DFW,828,1009
DL,2750,ATL,CLE,1956,2143
DL,2752,SEA,LAX,1125,1413
DL,2754,TPA,LGA,1525,1756
DL,2755,ATL,ORF,944,1110
DL,2755,ORF,ATL,1236,1421
DL,2756,MSP,LGA,1311,1646
DL,2757,IND,MSP,659,745
DL,2758,MCI,LGA,758,1143
DL,2761,DTW,MCI,1505,1553
DL,2764,MSP,LGA,1009,1330
DL,2766,LAX,PDX,912,1132
DL,2766,PDX,LAX,1301,1524
DL,2767,TYS,ATL,1040,1133
DL,2769,SEA,LAX,1001,1254
DL,2770,MSN,ATL,1350,1639
DL,2773,MSP,SAT,2025,2257
DL,2774,DTW,TPA,1420,1645
DL,2775,ATL,MSP,1009,1143
DL,2776,CVG,FLL,712,932
DL,2778,ATL,MEM,1215,1226
DL,2778,MEM,ATL,1339,1550
DL,2779,ATL,CHS,1441,1545
DL,2779,CHS,ATL,1655,1807
DL,2783,MSP,RDU,703,1025
DL,2783,RDU,MSP,1149,1332
DL,2785,BOS,CHS,1048,1313
DL,2785,CHS,BOS,1418,1624
DL,2787,DEN,DTW,1150,1636
DL,2790,DTW,MSY,858,1031
DL,2790,MSY,DTW,1133,1512
DL,2791,PHL,MSP,551,744
DL,2792,CLT,MSP,1144,1334
DL,2792,MSP,CLT,707,1054
DL,2794,LAS,CVG,2314,549
DL,2796,SLC,DFW,1824,2150
DL,2797,SLC,SAT,1730,2100
DL,2798,DFW,SLC,1233,1434
DL,2798,SLC,DFW,810,1146
DL,2799,ATL,BWI,1348,1524
DL,2799,BWI,ATL,1637,1825
DL,2800,DFW,SLC,1429,1619
DL,2800,SLC,DFW,958,1329
DL,2801,LGA,ORD,1824,2006
DL,2803,ATL,VPS,1835,1839
DL,2804,ATL,DAL,1821,1927
DL,2806,LGA,ORD,2046,2203
DL,2808,BOI,MSP,532,858
DL,2809,SFO,SEA,526,715
DL,2810,LGA,ORD,1154,1334
DL,2810,ORD,LGA,1445,1754
DL,2811,DFW,SLC,1812,2004
DL,2811,SLC,DFW,1340,1712
DL,2812,SEA,SFO,1828,2047
DL,2815,ATL,EYW,1822,2006
DL,2817,SLC,SEA,1620,1722
DL,2818,ATL,MEM,1027,1044
DL,2819,CLT,MSP,1719,1909
DL,2819,MSP,CLT,1246,1608
DL,2820,PIT,MSP,629,734
DL,2821,MSP,CLT,1712,2037
DL,2822,DTW,STL,1558,1627
DL,2822,STL,DTW,1724,1953
DL,2824,CVG,MCO,1556,1758
DL,2824,MCO,CVG,1900,2105
DL,2825,ATL,MSP,1439,1605
DL,2826,DTW,MCI,834,923
DL,2826,MCI,DTW,1020,1310
DL,2827,ATL,DAB,1420,1524
DL,2827,DAB,ATL,1654,1825
DL,2828,DEN,LAX,1255,1414
DL,2828,LAX,DEN,835,1150
DL,2829,BDL,DTW,1242,1432
DL,2829,DTW,BDL,1021,1200
DL,2830,SEA,LAX,1343,1633
DL,2831,ATL,SDF,1539,1654
DL,2832,ATL,TLH,1547,1643
DL,2832,TLH,ATL,1742,1900
DL,2834,LAS,MSP,32,523
DL,2836,ATL,MIA,803,946
DL,2836,MIA,ATL,1050,1240
DL,2837,DTW,SAV,1022,1221
DL,2837,SAV,DTW,1322,1523
DL,2838,CLE,ATL,702,900
DL,2839,DTW,RDU,2200,12
DL,2840,HSV,ATL,1751,1957
DL,2842,ATL,PHL,1553,1812
DL,2844,LAS,SEA,600,833
DL,2845,MCO,DTW,811,1046
DL,2846,MSP,EWR,2000,2329
DL,2847,DCA,ATL,1007,1153
DL,2848,ATL,DAL,1410,1545
DL,2849,MSP,DEN,912,1019
DL,2850,ATL,CHS,2241,2349
DL,2851,SEA,DEN,1948,2322
DL,2852,DTW,TPA,658,938
DL,2852,TPA,DTW,1038,1307
DL,2853,AVL,ATL,651,759
DL,2854,SEA,LAX,1955,2238
DL,2856,DTW,ATL,1139,1327
DL,2858,DTW,MCO,701,953
DL,2859,LAS,DTW,1724,12
DL,2860,ATL,SAV,2240,2331
DL,2861,SEA,LAX,1758,2046
DL,2862,ATL,OKC,1633,1734
DL,2862,OKC,ATL,1832,2127
DL,2863,FCA,MSP,1446,1819
DL,2864,EWR,MSP,1241,1423
DL,2864,MSP,EWR,821,1154
DL,2865,ATL,GRR,2149,2337
DL,2866,EWR,MSP,1850,2053
DL,2866,MSP,EWR,1423,1755
DL,2868,DTW,STL,831,857
DL,2869,DCA,DTW,955,1119
DL,2870,MSP,ABQ,1847,2023
DL,2871,MSP,BDL,1947,2313
DL,2872,BWI,MSP,559,739
DL,2873,AUS,SLC,1157,1343
DL,2874,SLC,SEA,752,902
DL,2876,CVG,SLC,839,1015
DL,2877,DEN,MSP,1506,1745
DL,2878,JNU,SEA,712,1034
DL,2879,ATL,ORD,1819,1918
DL,2880,LAS,SEA,1512,1736
DL,2880,SEA,LAS,1137,1409
DL,2881,ATL,MCO,1950,2111
DL,2882,SLC,MCI,1013,1326
DL,2884,BWI,MSP,1453,1623
DL,2884,MSP,BWI,956,1312
DL,2885,MKE,MSP,1753,1920
DL,2885,MSP,MKE,1553,1706
DL,2886,ATL,AUS,1003,1124
DL,2886,AUS,ATL,1238,1542
DL,2888,MIA,DCA,1101,1321
DL,2890,ATL,CMH,1747,1922
DL,2891,LGA,ORD,1453,1629
DL,2892,ATL,CMH,1600,1729
DL,2892,CMH,ATL,1831,2010
DL,2893,ATL,SAT,1824,1941
DL,2894,LGA,ORD,912,1045
DL,2895,EWR,MSP,1507,1700
DL,2895,MSP,EWR,1033,1403
DL,2897,MCI,SLC,758,939
DL,2898,BIL,MSP,609,904
DL,2901,ATL,MSP,1212,1347
DL,2902,ATL,IAD,1828,1956
DL,2903,MCI,SLC,1811,1945
DL,2904,ABQ,MSP,707,1033
DL,2905,SEA,LAS,1336,1611
DL,2906,LAX,SLC,535,813
DL,2907,MSO,MSP,550,938
DL,2908,ATL,MCI,1006,1112
DL,2908,MCI,ATL,1224,1507
DL,2909,CMH,ATL,655,840
DL,2911,ATL,MCI,2250,2349
DL,2912,SEA,JNU,1725,1849
DL,2913,GRR,MSP,712,751
DL,2915,CVG,LAS,715,815
DL,2916,SLC,MSP,800,1131
DL,2917,AUS,BNA,1355,1604
DL,2918,MSP,BWI,2033,2348
DL,2919,ORD,LGA,835,1128
DL,2922,LAS,SEA,1051,1316
DL,2922,SEA,LAS,714,944
DL,2923,ATL,JAX,1103,1210
DL,2923,JAX,ATL,1312,1423
DL,2924,SLC,MSP,1100,1423
DL,2925,ATL,ORF,1210,1335
DL,2925,ORF,ATL,1447,1633
DL,2927,MSP,DEN,1258,1351
DL,2929,MSP,CLT,1928,2247
DL,2931,MSP,DEN,1857,1952
DL,2932,MSP,RDU,2018,2353
DL,2934,DTW,JFK,2141,2323
DL,2935,SLC,MSP,2110,20
DL,2936,SLC,MSP,1406,1722
DL,2937,ROA,ATL,629,807
DL,2940,ATL,DTW,2311,56
DL,2941,MSP,BIL,1831,1934
DL,2942,MSN,DTW,1743,1950
DL,2945,ATL,ATW,2109,2219
DL,2946,BZN,MSP,1340,1653
DL,2946,MSP,BZN,1054,1226
DL,2947,PDX,LAX,611,829
DL,2948,ATL,GRB,2232,2338
DL,2950,BWI,ATL,600,810
DL,2951,ATL,BDL,828,1034
DL,2951,BDL,ATL,1148,1415
DL,2952,ATL,IND,901,1019
DL,2952,IND,ATL,1133,1254
DL,2954,MSP,BZN,1834,2000
DL,2955,SEA,LAS,1609,1845
DL,2956,ORD,BOS,622,931
DL,2958,DCA,MSP,1148,1331
DL,2958,MSP,DCA,729,1044
DL,2959,ATL,ICT,2139,2239
DL,2960,ATL,MSP,820,947
DL,2961,MSP,DCA,2005,2316
DL,2963,DCA,MSP,1849,2024
DL,2963,MSP,DCA,1425,1745
DL,2964,BDL,DTW,646,832
DL,2967,MSP,DFW,1947,2203
DL,2969,ATL,VPS,803,812
DL,2969,VPS,ATL,921,1131
DL,2970,MSP,DFW,1233,1445
DL,2971,DFW,MSP,1809,2029
DL,2971,MSP,DFW,1445,1701
DL,2972,DFW,MSP,1046,1311
DL,2972,MSP,DFW,718,941
DL,2973,ATL,HPN,941,1203
DL,2973,HPN,ATL,1308,1528
DL,2975,LAX,PDX,700,911
DL,2975,PDX,LAX,1025,1244
DL,2976,ATL,AUS,810,931
DL,2976,AUS,ATL,1044,1350
DL,2980,AVL,MSP,1913,2048
DL,2980,MSP,AVL,1451,1752
DL,2981,ATL,MSP,1511,1639
DL,2982,DEN,MSP,1703,1947
DL,2983,DCA,MSP,1505,1638
DL,2983,MSP,DCA,1037,1352
DL,2984,ATL,ORF,2104,2239
DL,2985,TPA,MSP,1816,2033
DL,2986,LAX,SFO,2044,2225
DL,2989,DTW,BDL,2106,2255
DL,2990,ATL,JAX,1317,1418
DL,2990,JAX,ATL,1541,1644
DL,2992,MIA,RDU,1817,2027
DL,2993,SLC,MCI,1753,2055
DL,2994,DTW,JAX,1426,1636
DL,2994,JAX,DTW,1843,2107
DL,2995,SLC,SEA,1054,1212
DL,2996,ORD,LGA,651,949
DL,2997,ATL,SRQ,2239,6
DL,300,ATL,BOS,1734,1949
DL,3001,BNA,ATL,812,1024
DL,3005,ATL,GSO,2238,2338
DL,3009,HSV,ATL,643,836
DL,301,ATL,LAX,1737,1904
DL,3010,ATL,GSP,1353,1436
DL,3011,DTW,GRR,2105,2146
DL,3014,MSN,DTW,657,903
DL,3015,TYS,ATL,524,608
DL,3017,ATL,GSO,1933,2036
DL,3018,GSO,ATL,558,711
DL,3019,PNS,ATL,600,804
DL,302,LAS,DTW,1523,2209
DL,3020,HSV,ATL,522,708
DL,3021,ATL,PNS,2001,2007
DL,3022,ATL,HSV,2256,2241
DL,3025,ATL,LIT,1738,1805
DL,3027,ATL,LIT,1548,1613
DL,3027,LIT,ATL,1714,1939
DL,3028,GSP,ATL,543,650
DL,3029,ATL,CAE,2253,2348
DL,303,BOS,DFW,1449,1748
DL,303,DFW,BOS,1858,2356
DL,3031,ATL,CLT,1518,1623
DL,3032,ATL,CAE,1628,1718
DL,3032,CAE,ATL,1810,1911
DL,3033,ATL,LIT,805,831
DL,3033,LIT,ATL,921,1137
DL,3034,ATL,DAB,1956,2102
DL,3035,ATL,DAB,909,1022
DL,3035,DAB,ATL,1129,1300
DL,3038,CAE,ATL,603,654
DL,3039,CHA,ATL,754,847
DL,304,DTW,SNA,903,1055
DL,3040,ATL,LIT,1109,1146
DL,3040,LIT,ATL,1256,1519
DL,3041,JAN,ATL,606,823
DL,3042,ATL,TYS,1506,1553
DL,3044,ATL,BHM,1913,1859
DL,3045,ATL,ECP,1332,1341
DL,3045,ECP,ATL,1432,1647
DL,3046,CHA,ATL,525,615
DL,3047,ATL,MYR,936,1037
DL,3047,MYR,ATL,1134,1255
DL,305,JFK,FLL,1121,1437
DL,3050,ATL,GSO,1719,1823
DL,3050,GSO,ATL,1906,2035
DL,3052,ATL,GSO,1000,1103
DL,3052,GSO,ATL,1210,1321
DL,3053,ATL,ECP,1600,1555
DL,3053,ECP,ATL,1711,1932
DL,3054,ATL,SAV,1006,1110
DL,3054,SAV,ATL,1224,1326
DL,3055,CHS,ATL,600,659
DL,3057,ATL,AVL,1058,1147
DL,3057,AVL,ATL,1234,1333
DL,3058,LEX,ATL,705,833
DL,306,AUS,LAX,747,851
DL,3060,ATL,GSO,1222,1324
DL,3060,GSO,ATL,1431,1544
DL,3061,CAE,ATL,703,809
DL,3063,ATL,GPT,1515,1530
DL,3063,GPT,ATL,1652,1905
DL,3065,ATL,HSV,1957,1951
DL,3066,HSV,ATL,1436,1627
DL,3069,ATL,BNA,818,820
DL,3069,BNA,ATL,927,1125
DL,307,DTW,HNL,1019,1419
DL,3070,ATL,ILM,1926,2038
DL,3072,ATL,TYS,2256,2351
DL,3074,ATL,MYR,1959,2102
DL,3076,BHM,ATL,740,955
DL,3077,ATL,AVL,845,938
DL,3077,AVL,ATL,1037,1131
DL,3078,ATL,LEX,1334,1439
DL,3078,LEX,ATL,1543,1705
DL,3079,ATL,GNV,2233,2335
DL,308,LGA,DTW,1448,1633
DL,3081,ATL,JAN,1349,1405
DL,3081,JAN,ATL,1457,1709
DL,3082,ATL,LEX,1958,2104
DL,3083,ATL,VPS,1430,1435
DL,3083,VPS,ATL,1524,1730
DL,3085,VPS,ATL,610,814
DL,3086,ATL,PNS,2250,2254
DL,3089,GRR,DTW,646,736
DL,309,HNL,ATL,1547,617
DL,3090,IND,DTW,601,702
DL,3091,FSD,MSP,455,600
DL,3092,ATL,VPS,1304,1308
DL,3092,VPS,ATL,1403,1625
DL,3093,ATL,SDF,1955,2118
DL,3096,ATL,LEX,1058,1200
DL,3096,LEX,ATL,1257,1412
DL,3097,ATL,VPS,2303,2305
DL,3098,ATL,CHA,2250,2333
DL,3099,ATL,AVL,1437,1529
DL,3099,AVL,ATL,1650,1744
DL,31,ATL,DFW,2112,2219
DL,310,HNL,DTW,1553,614
DL,3100,ATL,BHM,808,754
DL,3100,BHM,ATL,910,1109
DL,3103,ATL,PNS,908,913
DL,3103,PNS,ATL,952,1157
DL,3104,ATL,SRQ,1129,1243
DL,3104,SRQ,ATL,1352,1531
DL,3105,IND,ATL,553,717
DL,3107,ATL,CHS,1003,1109
DL,3107,CHS,ATL,1221,1328
DL,3108,ATL,DAY,848,1011
DL,3108,DAY,ATL,1110,1243
DL,3109,ATL,SRQ,1753,1912
DL,311,LAX,KOA,1648,1908
DL,3111,ATL,BTR,1946,2013
DL,3112,ATL,SAV,1642,1731
DL,3112,SAV,ATL,1854,2006
DL,3114,ECP,ATL,600,814
DL,3115,ATL,SRQ,1430,1548
DL,3115,SRQ,ATL,1656,1845
DL,3117,ATL,JAN,2244,2257
DL,3118,ATL,MLB,952,1107
DL,3118,MLB,ATL,1210,1347
DL,3119,ATL,CVG,1824,1941
DL,312,MSP,HNL,1014,1412
DL,3121,ATL,BNA,2221,2220
DL,3125,IND,ATL,802,925
DL,3126,ATL,IND,1609,1732
DL,3126,IND,ATL,1850,2023
DL,3127,ATL,MLB,1449,1613
DL,3127,MLB,ATL,1721,1850
DL,3128,ATL,MSY,827,858
DL,3129,PNS,ATL,713,925
DL,313,HNL,MSP,1659,516
DL,3131,ATL,ECP,2241,2240
DL,3132,ATL,MSY,1803,1833
DL,3132,MSY,ATL,1944,2225
DL,3133,ATL,GNV,1347,1455
DL,3133,GNV,ATL,1708,1822
DL,3134,ATL,IND,1355,1513
DL,3134,IND,ATL,1629,1802
DL,3135,BTR,ATL,604,833
DL,3136,ATL,GSP,1944,2028
DL,3137,ATL,CLT,2056,2158
DL,3139,ATL,CLT,1935,2046
DL,3140,DAY,ATL,554,728
DL,3142,ATL,BNA,1515,1522
DL,3142,BNA,ATL,1631,1833
DL,3143,ATL,LEX,1643,1744
DL,3143,LEX,ATL,1833,1957
DL,3144,ATL,CLT,748,849
DL,3145,SDF,ATL,1742,1908
DL,3146,ATL,MSY,1613,1642
DL,3146,MSY,ATL,1755,2016
DL,3147,ATL,GSP,1012,1053
DL,3149,ATL,CVG,1114,1229
DL,3149,CVG,ATL,1340,1506
DL,3150,CLT,ATL,827,931
DL,3151,ATL,JAN,1014,1033
DL,3151,JAN,ATL,1129,1345
DL,3152,SDF,ATL,557,714
DL,3153,ATL,IND,2253,18
DL,3154,DAB,ATL,550,714
DL,3155,GPT,ATL,551,816
DL,3156,CLT,ATL,704,817
DL,3157,ATL,MSY,1432,1509
DL,3157,MSY,ATL,1609,1851
DL,3158,ATL,CLT,1642,1749
DL,3158,CLT,ATL,1851,2004
DL,3159,ATL,BNA,1333,1328
DL,3159,BNA,ATL,1446,1653
DL,316,SLC,HNL,1137,1419
DL,3160,ATL,CVG,819,927
DL,3160,CVG,ATL,1131,1248
DL,3161,ATL,CLT,1820,1952
DL,3161,CLT,ATL,2036,2142
DL,3162,MYR,ATL,556,707
DL,3163,ATL,BHM,1454,1446
DL,3163,BHM,ATL,1550,1750
DL,3164,ATL,BHM,1004,1003
DL,3164,BHM,ATL,1110,1303
DL,3165,ATL,SDF,1311,1424
DL,3165,SDF,ATL,1522,1649
DL,3166,DTW,MSN,2034,2037
DL,3167,ATL,DAY,1951,2117
DL,3168,ATL,SAV,1355,1456
DL,3168,SAV,ATL,1610,1709
DL,3169,ATL,CVG,1312,1429
DL,317,BOS,LAX,1013,1320
DL,3170,ATL,MYR,1512,1613
DL,3170,MYR,ATL,1714,1839
DL,3171,ATL,HSV,1713,1701
DL,3173,GSO,ATL,849,1009
DL,3177,ATL,CLT,2238,2332
DL,3178,ATL,GPT,59,115
DL,318,BOS,LAX,1711,2022
DL,3180,ATL,JAN,1809,1829
DL,3181,GNV,ATL,628,734
DL,3183,JAN,ATL,732,1015
DL,3184,MSP,MKE,2127,2229
DL,3185,ATL,CLT,1221,1334
DL,3185,CLT,ATL,1428,1533
DL,3186,CLT,ATL,559,659
DL,3187,ILM,ATL,558,725
DL,3189,ATL,CHS,1609,1716
DL,3189,CHS,ATL,1822,1929
DL,3190,ATL,CLT,939,1056
DL,3190,CLT,ATL,1142,1249
DL,3196,ATL,SRQ,825,946
DL,3196,SRQ,ATL,1113,1249
DL,3198,ATL,PNS,1005,1009
DL,3198,PNS,ATL,1117,1318
DL,3199,ATL,GPT,838,856
DL,3199,GPT,ATL,1008,1227
DL,32,DFW,ATL,1758,2103
DL,322,BOS,ATL,1348,1638
DL,323,ATL,LGA,737,933
DL,324,BOS,SEA,1857,2218
DL,325,ATL,DCA,1843,2016
DL,326,SYR,DTW,522,649
DL,327,LAX,ATL,1015,1726
DL,328,MCO,SEA,1826,2127
DL,328,SEA,MCO,832,1652
DL,329,ATL,SNA,943,1122
DL,330,DCA,ATL,653,850
DL,333,LAS,JFK,934,1726
DL,334,DTW,LAS,926,1031
DL,335,SFO,DTW,2251,601
DL,336,DEN,JFK,630,1209
DL,337,JFK,SEA,1120,1434
DL,338,FLL,SEA,1806,2150
DL,338,SEA,FLL,812,1647
DL,339,ATL,PHX,2049,2137
DL,340,SEA,KOA,1351,1649
DL,341,DEN,ATL,554,1040
DL,342,LGA,ATL,732,959
DL,343,DCA,ATL,805,959
DL,344,SEA,OGG,1342,1635
DL,345,SEA,LIH,1555,1846
DL,347,MCO,SEA,912,1220
DL,348,ATL,PHX,824,915
DL,348,PHX,ATL,1039,1701
DL,349,DTW,SAN,1221,1352
DL,350,ATL,BOS,1436,1709
DL,351,SEA,HNL,1008,1317
DL,352,JFK,PDX,851,1201
DL,353,JFK,LAX,1759,2036
DL,355,BNA,LAX,1510,1727
DL,356,JFK,DFW,833,1123
DL,358,SEA,TPA,1019,1835
DL,359,HNL,SEA,1436,2335
DL,360,ATL,DCA,1325,1503
DL,361,DTW,SFO,835,1046
DL,362,DTW,SYR,2207,2330
DL,363,SFO,JFK,1358,2222
DL,364,LGA,MCI,1240,1439
DL,365,BOI,ATL,1448,2043
DL,367,SAN,JFK,652,1503
DL,368,SFO,MSP,748,1309
DL,369,DTW,SAN,1649,1823
DL,370,RDU,SEA,626,907
DL,371,ATL,LGA,1026,1226
DL,372,BNA,SEA,731,1035
DL,373,LAS,BOS,2218,617
DL,374,ATL,DFW,1541,1644
DL,375,LIH,SEA,2149,654
DL,376,BOS,ATL,1154,1435
DL,377,ANC,MSP,2105,556
DL,377,MSP,ANC,1641,1937
DL,378,ATL,DCA,2043,2232
DL,379,LGA,RSW,659,1004
DL,379,RSW,LGA,1106,1338
DL,380,ATL,DCA,921,1047
DL,381,FLL,JFK,1645,1931
DL,382,MCI,LGA,1238,1628
DL,383,SFO,JFK,954,1817
DL,384,BOS,SEA,717,1044
DL,385,BOS,ATL,1829,2124
DL,386,SFO,JFK,1155,2011
DL,387,ATL,SLC,1017,1224
DL,390,LAX,ATL,611,1329
DL,391,ATL,RNO,1904,2054
DL,391,RNO,ATL,2211,517
DL,392,DCA,LAX,1708,1924
DL,392,LAX,DCA,757,1554
DL,393,CVG,LAX,609,737
DL,394,OGG,SEA,2226,741
DL,395,LAX,ATL,1324,2046
DL,397,DCA,ATL,1832,2017
DL,398,DEN,LGA,712,1244
DL,400,SFO,BOS,712,1533
DL,401,DFW,ATL,520,817
DL,405,SFO,JFK,658,1524
DL,406,ATL,BZN,1115,1319
DL,406,BZN,ATL,1431,2002
DL,407,LAX,DTW,2148,500
DL,408,BOS,LAS,1808,2049
DL,409,ATL,MSY,1345,1414
DL,409,MSY,ATL,1526,1750
DL,410,DCA,ATL,554,731
DL,411,DEN,JFK,115,638
DL,412,DTW,LAS,2123,2254
DL,413,LAX,MSP,1157,1732
DL,414,ATL,DFW,1123,1249
DL,414,DFW,ATL,1359,1653
DL,415,SEA,JFK,1145,1952
DL,416,MCO,SLC,730,1017
DL,418,DCA,ATL,1205,1401
DL,419,SEA,HNL,1556,1900
DL,420,LAX,DFW,1845,2339
DL,421,DTW,LAS,1217,1321
DL,422,HNL,LAX,614,1435
DL,423,ATL,SLC,1400,1557
DL,424,JFK,DEN,2214,17
DL,425,LAX,OGG,832,1106
DL,426,SNA,DTW,1230,1945
DL,427,HNL,LAX,1117,1928
DL,428,LAX,LIH,1452,1741
DL,429,SEA,JFK,718,1542
DL,430,LAX,MSP,10,524
DL,431,DEN,ATL,700,1144
DL,432,IAD,SLC,705,937
DL,433,ATL,LGA,1532,1735
DL,434,ATL,LGA,1759,2009
DL,435,LIH,LAX,2034,454
DL,436,ATL,DFW,1734,1844
DL,436,DFW,ATL,2011,2330
DL,437,LAX,BOS,1453,2313
DL,438,LGA,MCI,1727,1919
DL,439,DFW,LAX,615,725
DL,440,HNL,SEA,2227,745
DL,441,ATL,DAL,904,1005
DL,441,DAL,ATL,1054,1348
DL,442,DTW,SFO,1649,1850
DL,443,LAX,HNL,1747,2024
DL,444,ATL,SEA,729,950
DL,445,BOS,SLC,1654,2015
DL,446,SEA,JFK,1556,3
DL,447,ATL,SAN,1752,1922
DL,448,SEA,MCO,2331,752
DL,449,LAX,BNA,1732,2318
DL,450,MIA,LAX,857,1116
DL,451,PDX,JFK,654,1451
DL,452,SEA,JFK,2307,707
DL,454,DFW,JFK,744,1154
DL,455,DCA,ATL,854,1046
DL,456,BOS,ATL,805,1103
DL,457,JFK,DEN,1537,1739
DL,458,LAX,CVG,2144,440
DL,459,SEA,BOS,751,1556
DL,460,ATL,LGA,1340,1542
DL,461,DFW,LGA,551,1010
DL,462,RDU,LAX,727,936
DL,463,OGG,LAX,1235,2058
DL,465,LAX,HNL,1542,1827
DL,466,ATL,LAS,1650,1803
DL,467,ATL,LGA,1138,1333
DL,468,ATL,LGA,1857,2056
DL,469,DTW,SFO,1230,1429
DL,470,LAS,DTW,928,1626
DL,471,LAX,ATL,1726,33
DL,472,SFO,DTW,1205,1926
DL,473,SEA,BOS,2326,729
DL,475,BOS,SFO,2026,28
DL,476,LAS,ATL,943,1649
DL,477,LAX,FLL,2256,641
DL,478,DTW,FLL,1304,1549
DL,478,FLL,DTW,1705,2006
DL,479,BOS,LAX,711,1020
DL,480,LAX,HNL,825,1114
DL,481,ATL,SEA,1334,1604
DL,482,LAX,MCO,644,1435
DL,482,MCO,LAX,1543,1759
DL,483,ATL,BUR,1015,1241
DL,484,MCO,LAX,707,930
DL,485,KOA,SEA,2139,703
DL,486,KOA,LAX,2043,500
DL,487,ATL,LAS,1224,1335
DL,488,DSM,ATL,548,845
DL,489,SEA,RDU,1539,2324
DL,490,ATL,LGA,2004,2201
DL,491,BZN,SLC,557,705
DL,492,DTW,SAN,826,1022
DL,492,SAN,DTW,1127,1913
DL,494,LAX,DTW,1014,1725
DL,496,JFK,DFW,1847,2115
DL,497,BOS,LAS,655,946
DL,497,LAS,BOS,1115,1915
DL,498,BUR,ATL,1229,1947
DL,499,BOS,DEN,754,1034
DL,499,DEN,BOS,1144,1737
DL,500,ATL,LAX,1959,2137
DL,501,ATL,LAX,1026,1201
DL,502,LAS,DTW,2358,637
DL,504,MCO,LAX,1000,1211
DL,505,MSP,SEA,2146,2338
DL,506,LAS,ATL,1459,2141
DL,507,LAX,BOS,2122,536
DL,508,IAD,SEA,1747,2035
DL,508,SEA,IAD,854,1633
DL,509,BNA,AUS,1032,1251
DL,510,LAS,JFK,722,1518
DL,511,CVG,MCO,817,1020
