OP_CARRIER,OP_CARRIER_FL_NUM,ORIGIN,DEST,DEP_TIME,ARR_TIME
9E,5082,DTW,BTV,1050,1229
9E,5083,CVG,EWR,1627,1814
9E,5085,PIT,LGA,1928,2102
9E,5086,JFK,PIT,953,1122
9E,5086,PIT,JFK,1212,1343
9E,5089,CAE,LGA,1457,1655
9E,5089,LGA,CAE,1204,1410
9E,5090,DTW,GSP,1551,1730
9E,5093,CVG,LGA,1739,1935
9E,5096,CVG,JFK,1300,1502
9E,5097,JFK,RDU,753,936
9E,5099,CLT,LGA,656,838
9E,5101,RDU,LGA,1908,2036
9E,5102,DAY,LGA,730,903
9E,5103,JFK,RDU,1915,2103
9E,5104,GRR,LGA,1750,1949
9E,5104,LGA,GRR,1510,1701
9E,5107,LGA,GSO,1626,1805
9E,5108,LGA,RDU,1305,1501
9E,5109,LGA,RDU,1506,1706
9E,5110,CVG,LGA,832,1026
9E,5112,CVG,EWR,1239,1432
9E,5114,BNA,RDU,839,1109
9E,5114,RDU,BNA,715,751
9E,5116,TYS,LGA,800,954
9E,5117,DTW,CHA,1442,1610
9E,5118,LGA,GSO,1957,2135
9E,5119,ROC,DTW,1721,1831
9E,5122,GSO,DTW,718,856
9E,5124,AVL,LGA,1140,1321
9E,5125,GSO,LGA,1104,1232
9E,5126,ATL,CHO,1335,1458
9E,5126,CHO,ATL,1550,1729
9E,5127,CVG,LGA,1423,1621
9E,5128,PIT,LGA,1658,1821
9E,5129,ATL,ROA,1217,1329
9E,5129,ROA,ATL,1453,1624
9E,5130,ATL,ILM,1539,1704
9E,5131,CAE,LGA,601,742
9E,5132,LGA,GSO,1210,1519
9E,5133,XNA,ATL,937,1214
9E,5134,CVG,DCA,1719,1851
9E,5134,DCA,CVG,1947,2111
9E,5137,BGR,LGA,655,822
9E,5140,BTR,ATL,1703,1947
9E,5150,JFK,RDU,1608,1805
9E,5151,JFK,BGR,2212,2341
9E,5152,BNA,RDU,1842,2109
9E,5152,RDU,BNA,1716,1752
9E,5153,ATL,XNA,759,846
9E,5155,LGA,ROA,2040,2204
9E,5156,ATL,BTR,841,916
9E,5157,ATL,MLU,1054,1119
9E,5157,MLU,ATL,1207,1445
9E,5158,CLE,LGA,1229,1357
9E,5159,ATL,TYS,1304,1356
9E,5160,LGA,RDU,834,1011
9E,5161,ATL,MGM,1518,1509
9E,5161,MGM,ATL,1624,1812
9E,5162,AEX,ATL,555,832
9E,5165,BUF,LGA,555,728
9E,5167,ROC,DTW,629,744
9E,5168,ATL,AEX,1933,2013
9E,5171,GSP,LGA,800,944
9E,5172,BTR,ATL,1015,1246
9E,5174,TYS,ATL,1439,1534
9E,5176,BTV,JFK,522,638
9E,5178,PVD,LGA,625,719
9E,5180,DTW,SDF,815,929
9E,5180,SDF,DTW,1023,1144
9E,5181,EVV,ATL,556,811
9E,5182,ATL,EVV,1935,1958
9E,5186,ILM,LGA,1211,1346
9E,5186,LGA,ILM,909,1126
9E,5190,CLE,LGA,549,708
9E,5192,ATL,CHA,1222,1303
9E,5192,CHA,ATL,1354,1450
9E,5194,LGA,CLE,1650,1824
9E,5198,RDU,DCA,2039,2141
9E,5199,GSP,DTW,724,857
9E,5200,JFK,CHS,1349,1616
9E,5202,GRR,LGA,555,732
9E,5203,ATL,TYS,1757,1855
9E,5204,LGA,ILM,2021,2203
9E,5205,DTW,JFK,1559,1746
9E,5206,RDU,LGA,1024,1154
9E,5207,JFK,SAV,800,1022
9E,5207,SAV,JFK,1110,1317
9E,5209,BGM,DTW,1337,1501
9E,5209,DTW,BGM,1134,1246
9E,5210,MYR,LGA,1550,1742
9E,5211,DTW,ROC,1630,1739
9E,5212,LGA,ILM,1410,1552
9E,5213,CHA,ATL,1658,1748
9E,5216,DTW,JFK,701,924
9E,5219,RDU,JFK,1855,2100
9E,5220,LGA,IND,1934,2142
9E,5221,CVG,DCA,1334,1454
9E,5221,DCA,CVG,1558,1724
9E,5222,RDU,EWR,1755,1938
9E,5223,JFK,BUF,944,1138
9E,5224,ATL,TYS,1943,2033
9E,5226,DTW,GSP,1015,1207
9E,5227,ATL,CHA,1552,1649
9E,5228,CLE,JFK,1125,1249
9E,5229,CVG,DCA,756,935
9E,5229,DCA,CVG,1007,1142
9E,5230,MCI,JFK,1928,2337
9E,5231,DTW,ROC,2151,2303
9E,5232,LGA,RDU,1816,2002
9E,5235,RDU,LGA,709,837
9E,5236,DTW,GSO,1600,1732
9E,5237,ILM,LGA,711,837
9E,5239,RDU,JFK,704,835
9E,5240,SGF,ATL,555,838
9E,5241,ABE,ATL,1448,1659
9E,5241,ATL,ABE,1107,1301
9E,5244,LGA,PVD,2141,2236
9E,5247,CHA,DTW,1727,1917
9E,5249,CLT,LGA,1935,2127
9E,5250,JFK,BUF,1715,1838
9E,5253,MSP,DSM,1942,2053
9E,5254,BGR,LGA,1235,1412
9E,5254,LGA,BGR,1015,1142
9E,5255,VLD,ATL,611,732
9E,5257,DTW,CVG,1221,1325
9E,5259,CVG,DTW,1027,1132
9E,5259,DTW,CVG,834,940
9E,5260,EWR,RDU,1518,1645
9E,5261,FSD,MSP,1047,1141
9E,5261,MSP,FSD,901,1004
9E,5262,MCI,JFK,1213,1608
9E,5264,JFK,BUF,2225,2347
9E,5265,ITH,JFK,818,934
9E,5266,ATL,CHO,1505,1622
9E,5267,LGA,SAV,847,1123
9E,5267,SAV,LGA,1243,1438
9E,5269,DCA,RDU,750,902
9E,5271,GSO,LGA,1550,1733
9E,5273,RDU,EWR,1213,1339
9E,5276,SGF,ATL,1556,1842
9E,5279,TYS,ATL,941,1043
9E,5282,ATL,AGS,1754,1842
9E,5283,ATL,SGF,2153,2235
9E,5284,BUF,JFK,740,909
9E,5287,BTV,JFK,1145,1253
9E,5287,JFK,BTV,945,1100
9E,5288,AGS,ATL,1354,1452
9E,5288,ATL,AGS,1221,1306
9E,5289,ROC,JFK,1835,1953
9E,5291,AGS,ATL,605,704
9E,5293,JFK,CHS,1933,2145
9E,5294,RDU,JFK,947,1114
9E,5296,BUF,JFK,1657,1816
9E,5296,JFK,BUF,1302,1432
9E,5297,JFK,ROC,2224,2348
9E,5298,LGA,PIT,1623,1802
9E,5299,JFK,ROC,1744,1907
9E,5301,JFK,RIC,1458,1618
9E,5301,RIC,JFK,1845,2011
9E,5302,ATL,SHV,921,1001
9E,5302,SHV,ATL,1047,1325
9E,5303,ATL,SGF,1429,1515
